"","Crop","Plot","Range","Unique.ID","Lentil","Wheat","Rep_gen","Facet","Combo","Rep_combo","Type","Col","Row","Block","BlockRow","BlockCol","Name","ENV","Planting.Date..date.","HD","HT","MAT","LD","YLD","Y.ADJ","TWT","KWT","PRO","Notes"
"100","Wheat",4152,9,"4152-CW1","CL3","CW1",7,"CW1","CL3-CW1",1,"Check",9,34,20,5,4,"AAC Schrader","Clavet2025","8-May-25",61,94,110,3,2504,6836,79.7,51.6,15.8,""
"101","Wheat",4938,23,"4938-CW1","CL2","CW1",8,"CW1","CL2-CW1",2,"Check",23,62,41,4,3,"AAC Schrader","Clavet2025","8-May-25",59,94,108,1,2594,7081,79.6,50.2,15.8,""
"102","Wheat",5292,29,"5292-CW1","CL2","CW1",9,"CW1","CL2-CW1",2,"Check",29,74,48,7,4,"AAC Schrader","Clavet2025","8-May-25",61,91,110,1,3080,8408,80,50.6,15.8,""
"103","Wheat",1127,7,"1127-CW1","CL2","CW1",94,"CW1","CL2-CW1",1,"Check",7,6,2,5,2,"AAC Schrader","Hunter2025","16-May-25",55,87,105,1,1968,5372,78.4,50.3,15.9,""
"104","Wheat",1482,2,"1482-CW1","CL3","CW1",95,"CW1","CL3-CW1",1,"Check",2,18,7,8,2,"AAC Schrader","Hunter2025","16-May-25",56,92,105,1,2299,6277,79.4,51.5,15.9,""
"105","Wheat",1519,22,"1519-CW1","CL1","CW1",96,"CW1","CL1-CW1",1,"Check",22,19,11,9,2,"AAC Schrader","Hunter2025","16-May-25",56,82,105,1,2621,7157,78.5,50.6,15.9,""
"106","Wheat",1868,28,"1868-CW1","CL1","CW1",97,"CW1","CL1-CW1",1,"Check",28,31,24,2,3,"AAC Schrader","Hunter2025","16-May-25",57,86,107,1,2756,7523,78.5,51.3,15.9,""
"107","Wheat",1877,24,"1877-CW1","CL1","CW1",98,"CW1","CL1-CW1",1,"Check",24,32,23,3,4,"AAC Schrader","Hunter2025","16-May-25",56,79,106,1,2129,5813,78.1,52.2,15.9,""
"108","Wheat",1971,11,"1971-CW1","CL3","CW1",99,"CW1","CL3-CW1",1,"Check",11,35,21,6,1,"AAC Schrader","Hunter2025","16-May-25",56,90,103,1,2489,6795,78.6,52.8,15.9,""
"109","Wheat",2393,8,"2393-CW1","CL2","CW1",100,"CW1","CL2-CW1",2,"Check",8,49,32,1,3,"AAC Schrader","Hunter2025","16-May-25",57,95,106,1,2389,6522,78.4,51.2,15.9,""
"110","Wheat",2480,20,"2480-CW1","CL2","CW1",101,"CW1","CL2-CW1",2,"Check",20,52,34,4,5,"AAC Schrader","Hunter2025","16-May-25",57,84,107,1,1908,5208,79.2,52.3,15.9,""
"111","Wheat",3090,30,"3090-CW1","CL3","CW1",102,"CW1","CL3-CW1",2,"Check",30,73,48,6,5,"AAC Schrader","Hunter2025","16-May-25",56,91,104,1,2587,7063,78.4,49.1,15.9,""
"112","Wheat",3458,18,"3458-CW1","CL2","CW1",10,"CW1","CL2-CW1",1,"Check",18,10,4,9,3,"AAC Schrader","Clavet2025","8-May-25",60,96,107,1,2359,6441,79.6,48.5,15.9,""
"113","Wheat",3468,28,"3468-CW1","CL3","CW1",11,"CW1","CL3-CW1",1,"Check",28,10,6,9,3,"AAC Schrader","Clavet2025","8-May-25",60,98,110,3,2830,7726,80.4,48.8,15.9,""
"114","Wheat",5235,26,"5235-CW1","CL1","CW1",12,"CW1","CL1-CW1",2,"Check",26,72,48,5,1,"AAC Schrader","Clavet2025","8-May-25",60,96,109,1,2698,7365,80,49.7,15.9,""
"115","Wheat",1100,21,"1100-CW1","CL1","CW1",103,"CW1","CL1-CW1",1,"Check",21,5,5,4,1,"AAC Schrader","Hunter2025","16-May-25",56,88,107,1,2618,7146,78.6,51.9,16,""
"116","Wheat",1150,30,"1150-CW1","CL3","CW1",104,"CW1","CL3-CW1",1,"Check",30,6,6,5,5,"AAC Schrader","Hunter2025","16-May-25",58,96,106,3,2755,7521,78.7,52.9,16,""
"117","Wheat",1355,6,"1355-CW1","CL3","CW1",105,"CW1","CL3-CW1",1,"Check",6,13,8,3,1,"AAC Schrader","Hunter2025","16-May-25",56,85,105,1,2332,6365,78.7,50.8,16,""
"118","Wheat",1528,13,"1528-CW1","CL3","CW1",106,"CW1","CL3-CW1",1,"Check",13,19,9,9,3,"AAC Schrader","Hunter2025","16-May-25",58,107,107,4,3140,8572,79.6,50.5,16,""
"119","Wheat",1535,6,"1535-CW1","CL2","CW1",107,"CW1","CL2-CW1",1,"Check",6,19,8,9,1,"AAC Schrader","Hunter2025","16-May-25",57,85,107,1,2297,6270,78.8,53.6,16,""
"120","Wheat",1621,21,"1621-CW1","CL2","CW1",108,"CW1","CL2-CW1",1,"Check",21,23,17,3,1,"AAC Schrader","Hunter2025","16-May-25",57,75,107,1,1587,5433,77.9,52,16,"Yield Adjusted"
